"gender_c" "age_c" "occupation_c" "population"
"1" "Male" "16 to 23 years" "Aannemers" 27
"2" "Male" "Older than 23" "Aannemers" 1149
"3" "Male" "16 to 23 years" "Aardappelenmeelfabriekanten" 10
"4" "Male" "Older than 23" "Aardappelenmeelfabriekanten" 26
"5" "Male" "Younger than 10" "Aardewerk- en porceleinfabriekanten en werklieden" 30
"6" "Male" "10 to 11" "Aardewerk- en porceleinfabriekanten en werklieden" 97
"7" "Female" "10 to 11" "Aardewerk- en porceleinfabriekanten en werklieden" 32
"8" "Male" "12 to 15" "Aardewerk- en porceleinfabriekanten en werklieden" 282
"9" "Female" "12 to 15" "Aardewerk- en porceleinfabriekanten en werklieden" 102
"10" "Male" "16 to 23 years" "Aardewerk- en porceleinfabriekanten en werklieden" 384
"11" "Female" "16 to 23 years" "Aardewerk- en porceleinfabriekanten en werklieden" 238
"12" "Male" "Older than 23" "Aardewerk- en porceleinfabriekanten en werklieden" 709
"13" "Female" "Older than 23" "Aardewerk- en porceleinfabriekanten en werklieden" 146
"14" "Male" "16 to 23 years" "Advokaten" 31
"15" "Male" "Older than 23" "Advokaten" 1177
"16" "Male" "Older than 23" "Aluinfabriekanten" 2
"17" "Male" "12 to 15" "Ambtenaren. gemeente" 6
"18" "Male" "16 to 23 years" "Ambtenaren. gemeente" 118
"19" "Male" "Older than 23" "Ambtenaren. gemeente" 8671
"20" "Female" "Older than 23" "Ambtenaren. gemeente" 8
"21" "Male" "16 to 23 years" "Ambtenaren. niet genoemde" 7
"22" "Male" "Older than 23" "Ambtenaren. niet genoemde" 403
"23" "Male" "12 to 15" "Ambtenaren. provinciale" 2
"24" "Male" "16 to 23 years" "Ambtenaren. provinciale" 36
"25" "Male" "Older than 23" "Ambtenaren. provinciale" 1043
"26" "Male" "12 to 15" "Ambtenaren. rijks" 6
"27" "Male" "16 to 23 years" "Ambtenaren. rijks" 214
"28" "Male" "Older than 23" "Ambtenaren. rijks" 10119
"29" "Female" "Older than 23" "Ambtenaren. rijks" 8
"30" "Male" "10 to 11" "Apothekers, droogisten en scheikundigen" 12
"31" "Male" "12 to 15" "Apothekers, droogisten en scheikundigen" 241
"32" "Male" "16 to 23 years" "Apothekers, droogisten en scheikundigen" 718
"33" "Male" "Older than 23" "Apothekers, droogisten en scheikundigen" 3399
"34" "Female" "Older than 23" "Apothekers, droogisten en scheikundigen" 30
"35" "Male" "Younger than 10" "Arbeiders, daglooners" 160
"36" "Female" "Younger than 10" "Arbeiders, daglooners" 162
"37" "Male" "10 to 11" "Arbeiders, daglooners" 594
